km_cluster,total_land_ha,n_plots,hh_has_irrigated_plot,has_farm_equipment,has_extension_access,head_age,head_is_male,hh_size,n_households
0,1.3,3.65,0.0,1.0,0.03,47.42,0.93,7.67,2594
1,1.15,3.37,0.0,1.0,1.0,39.95,1.0,4.88,3422
2,0.81,2.8,0.0,1.0,0.0,35.31,0.0,4.71,3090
3,1.17,3.19,0.0,1.0,0.1,65.81,1.0,4.26,1714
4,0.79,2.6,0.05,0.0,0.16,39.4,0.49,4.24,233
5,0.98,3.13,0.0,1.0,0.02,65.58,0.0,4.24,1702
6,1.29,4.52,1.0,1.0,0.36,42.4,0.66,5.19,1304
7,2.46,14.1,0.09,1.0,0.42,44.06,0.63,5.87,426
8,1.02,3.37,0.0,1.0,1.0,44.19,0.0,4.8,1889
9,3.29,6.51,0.0,1.0,0.46,50.01,0.79,6.87,1561
10,0.88,2.8,0.0,1.0,0.0,31.49,1.0,3.93,4558
