HHID,plotid,gardenid,crop_code,plotareaHA,harvest_Qua_per_crop,km_cluster,yield_kg_per_ha
00006AED88924DB980071FA21617A55C,1,1,CASSAVA,0.8094,3230.788,1,3991.583984375
00006AED88924DB980071FA21617A55C,1,2,MAIZE,0.4047,6461.576,1,15966.3359375
00006AED88924DB980071FA21617A55C,1,4,CASSAVA,0.20235,12923.152,1,63865.34375
00006AED88924DB980071FA21617A55C,1,3,CASSAVA,0.20235,2094.193,1,10349.3603515625
0001B2D60A9647888F3124AF0EC0E310,1,1,MAIZE,0.40000144,1679.694,5,4199.2197265625
0001B2D60A9647888F3124AF0EC0E310,1,2,GROUNDNUT/PEANUTS,0.8094,0.0,5,0.0
000570D91EF94CC29416D05EA2AABE9B,1,1,MAIZE,0.20235,6050.902,2,29903.146484375
000570D91EF94CC29416D05EA2AABE9B,1,2,MAIZE,0.4047,3025.451,2,7475.78662109375
0006140FC28F478380757E0B44E4625D,2,1,MAIZE,0.20235,1150.5957,2,5686.166015625
0006140FC28F478380757E0B44E4625D,1,1,PIGEONPEA(NANDOLO),0.20235,1058.8616,2,5232.822265625
000BA6A31796435B8EC293560ADA4E1E,1,1,MAIZE,0.20235,1853.2246,2,9158.5107421875
000BA6A31796435B8EC293560ADA4E1E,1,1,MAIZE,0.4047,926.6123,2,2289.627685546875
000BA6A31796435B8EC293560ADA4E1E,1,2,PIGEONPEA(NANDOLO),0.20235,3459.3525,2,17095.884765625
000BA6A31796435B8EC293560ADA4E1E,1,1,MAIZE,0.4047,926.6123,2,2289.627685546875
000BA6A31796435B8EC293560ADA4E1E,1,1,MAIZE,0.20235,0.0,2,0.0
000BA6A31796435B8EC293560ADA4E1E,1,3,BEANS,0.4047,1729.6763,2,4273.97119140625
000BA6A31796435B8EC293560ADA4E1E,1,1,MAIZE,0.4047,0.0,2,0.0
000D08F60E44499092E4AC177DA4DD6C,1,2,CASSAVA,0.08094,435.32248,2,5378.33544921875
000D08F60E44499092E4AC177DA4DD6C,1,1,MAIZE,0.20235,1235.483,2,6105.67333984375
000D08F60E44499092E4AC177DA4DD6C,1,2,RICE,0.20235,185.32245,2,915.8509521484375
00120EDBB373464A94BEF5A784FE8B0A,1,1,BEANS,0.4047,261.77414,0,646.8350219726562
00120EDBB373464A94BEF5A784FE8B0A,1,1,SOYABEAN,0.20235,181.56659,0,897.289794921875
00120EDBB373464A94BEF5A784FE8B0A,2,3,MAIZE,0.12141,127.46068,0,1049.8367919921875
00145B0F59044175AAA59AFE6501FBC4,1,2,MAIZE,0.101175,1482.5796,0,14653.615234375
00145B0F59044175AAA59AFE6501FBC4,1,1,MAIZE,0.20235,741.2898,0,3663.40380859375
001520ADEA69422EBB3E7BF19A7E324A,1,2,SOYABEAN,0.4047,1745.1445,2,4312.19287109375
001520ADEA69422EBB3E7BF19A7E324A,1,1,MAIZE,0.4047,525.8216,2,1299.287353515625
001796220B914ED39B81DADA165DC998,1,1,CASSAVA,0.60705,1620.9537,1,2670.214599609375
001796220B914ED39B81DADA165DC998,1,2,RICE,0.60705,822.8317,1,1355.4595947265625
001796220B914ED39B81DADA165DC998,1,1,CASSAVA,0.4047,4888.065,1,12078.2421875
001796220B914ED39B81DADA165DC998,1,2,RICE,0.60705,822.8317,1,1355.4595947265625
001796220B914ED39B81DADA165DC998,1,2,RICE,0.60705,822.8317,1,1355.4595947265625
001796220B914ED39B81DADA165DC998,1,3,MAIZE,0.60705,3258.71,1,5368.10791015625
001918E42FFA4EC2BEC893C5C56A2C94,1,2,CASSAVA,0.20235,523.5483,0,2587.340087890625
001918E42FFA4EC2BEC893C5C56A2C94,1,1,MAIZE,0.20235,523.5483,0,2587.340087890625
001918E42FFA4EC2BEC893C5C56A2C94,1,1,MAIZE,0.20235,2326.1675,0,11495.76171875
001C7D7DD9B0458C8CEBF83149D5890D,1,3,GROUNDNUT/PEANUTS,0.4047,0.0,1,0.0
001C7D7DD9B0458C8CEBF83149D5890D,1,4,GROUNDNUT/PEANUTS,0.505875,11069.929,1,21882.736328125
001C7D7DD9B0458C8CEBF83149D5890D,1,1,GROUNDNUT/PEANUTS,0.4047,13837.41,1,34191.76953125
001C7D7DD9B0458C8CEBF83149D5890D,1,5,MAIZE,0.8094,6918.705,1,8547.9423828125
001C7D7DD9B0458C8CEBF83149D5890D,1,2,GROUNDNUT/PEANUTS,0.8094,0.0,1,0.0
001E1902B7314A8293FA12B86C84BA82,1,4,SORGHUM,0.101175,395.35458,5,3907.631103515625
001E1902B7314A8293FA12B86C84BA82,1,4,SORGHUM,0.101175,395.35458,5,3907.631103515625
001E1902B7314A8293FA12B86C84BA82,1,4,SORGHUM,0.101175,98.838646,5,976.9077758789062
001E1902B7314A8293FA12B86C84BA82,1,1,MAIZE,0.101175,2322.708,5,22957.330078125
001E1902B7314A8293FA12B86C84BA82,1,3,CASSAVA,0.101175,2322.708,5,22957.330078125
001E1902B7314A8293FA12B86C84BA82,1,3,"OTHER, TEMPORARY CROP (SPECIFY)",0.20235,1161.354,5,5739.33251953125
001E1902B7314A8293FA12B86C84BA82,1,4,SORGHUM,0.101175,494.1932,5,4884.53857421875
001EDDD966A2470CB1016B9DE54C43A6,1,1,Sesame,0.4047,385.4707,2,952.4850463867188
001EDDD966A2470CB1016B9DE54C43A6,1,2,SORGHUM,0.4047,123.5483,2,305.2836608886719
001EDDD966A2470CB1016B9DE54C43A6,2,1,PEARL MILLET(MCHEWERE),0.4047,0.0,2,0.0
001FD163F0854F9AB4D28E121F8060C4,4,1,GROUNDNUT/PEANUTS,0.4047,988.3864,1,2442.269287109375
001FD163F0854F9AB4D28E121F8060C4,2,1,SOYABEAN,0.8094,1976.7728,1,2442.269287109375
001FD163F0854F9AB4D28E121F8060C4,5,1,SWEET POTATO,0.4047,1917.8896,1,4739.0400390625
001FD163F0854F9AB4D28E121F8060C4,3,1,TOBACCO,0.4047,0.0,1,0.0
001FD163F0854F9AB4D28E121F8060C4,1,1,MAIZE,0.8094,988.3864,1,1221.1346435546875
0020356932C84762BA04F0F2311E2F52,1,2,PIGEONPEA(NANDOLO),0.60705,494.19324,2,814.08984375
0020356932C84762BA04F0F2311E2F52,3,1,MAIZE,0.101175,60.74623,2,600.4075317382812
0020356932C84762BA04F0F2311E2F52,2,1,MAIZE,0.101175,741.2898,2,7326.8076171875
0020356932C84762BA04F0F2311E2F52,1,2,GROUNDNUT/PEANUTS,0.20235,1482.5796,2,7326.8076171875
0020356932C84762BA04F0F2311E2F52,1,1,MAIZE,0.60705,123.54831,2,203.5224609375
002110CC46684CDF8E50FAA667891EF8,1,2,CASSAVA,0.40000144,0.0,1,0.0
002110CC46684CDF8E50FAA667891EF8,1,1,MAIZE,0.19999869,1589.1105,1,7945.6044921875
002110CC46684CDF8E50FAA667891EF8,1,2,SWEET POTATO,0.40000144,1063.7462,1,2659.35595703125
002110CC46684CDF8E50FAA667891EF8,1,3,RICE,0.40000144,0.0,1,0.0
002605E538A34143B42EEC4A44506ABF,3,3,CASSAVA,0.20235,2083.5186,3,10296.607421875
002605E538A34143B42EEC4A44506ABF,1,3,SUGAR CANE,0.04047,25203.854,3,622778.6875
002605E538A34143B42EEC4A44506ABF,2,3,BEANS,0.08094,1235.483,3,15264.18359375
002605E538A34143B42EEC4A44506ABF,1,1,MAIZE,0.12141,5765.588,3,47488.57421875
002605E538A34143B42EEC4A44506ABF,2,3,PIGEONPEA(NANDOLO),0.16188,0.0,3,0.0
002605E538A34143B42EEC4A44506ABF,1,2,SWEET POTATO,0.4047,1729.6763,3,4273.97119140625
002605E538A34143B42EEC4A44506ABF,2,3,PIGEONPEA(NANDOLO),0.20235,6600.4443,3,32618.947265625
00285B584C8B446085DD17EC20BD1FB0,1,2,SORGHUM,0.40000144,187.49933,0,468.74664306640625
00285B584C8B446085DD17EC20BD1FB0,1,2,PIGEONPEA(NANDOLO),0.19999869,50.000328,0,250.00328063964844
00285B584C8B446085DD17EC20BD1FB0,1,2,PIGEONPEA(NANDOLO),0.19999869,100.000656,0,500.0065612792969
00285B584C8B446085DD17EC20BD1FB0,1,1,MAIZE,0.19999869,375.00244,0,1875.0244140625
002BF5802DD948F986E0034A2B7E7829,1,1,TOBACCO,0.8094,3269.0881,0,4038.90283203125
002BF5802DD948F986E0034A2B7E7829,2,1,MAIZE,0.4047,988.3864,0,2442.269287109375
00325904E48F4692B64A02BE3F8D212F,2,2,MAIZE,0.101175,1198.4186,1,11845.0068359375
00325904E48F4692B64A02BE3F8D212F,2,2,MAIZE,0.101175,1198.4186,1,11845.0068359375
00325904E48F4692B64A02BE3F8D212F,1,2,MAIZE,0.4047,290.3385,1,717.4165649414062
00325904E48F4692B64A02BE3F8D212F,1,3,NKHWANI,0.101175,8439.141,1,83411.3203125
00325904E48F4692B64A02BE3F8D212F,1,2,MAIZE,0.04047,348.40622,1,8609.0
00325904E48F4692B64A02BE3F8D212F,1,2,MAIZE,0.4047,2109.7852,1,5213.20751953125
00325904E48F4692B64A02BE3F8D212F,2,2,MAIZE,0.101175,1161.354,1,11478.6650390625
00325904E48F4692B64A02BE3F8D212F,1,5,PIGEONPEA(NANDOLO),0.101175,8439.141,1,83411.3203125
00325904E48F4692B64A02BE3F8D212F,1,2,MAIZE,0.101175,1161.354,1,11478.6650390625
00325904E48F4692B64A02BE3F8D212F,1,2,MAIZE,0.101175,139.36249,1,1377.43994140625
00325904E48F4692B64A02BE3F8D212F,1,1,GROUNDNUT/PEANUTS,0.04047,21097.852,1,521320.75
00325904E48F4692B64A02BE3F8D212F,1,2,MAIZE,0.101175,1161.354,1,11478.6650390625
00325904E48F4692B64A02BE3F8D212F,1,4,NKHWANI,0.101175,8439.141,1,83411.3203125
00362A2747E94008BAF554E06C11A420,2,1,SOYABEAN,0.4047,11.796392,3,29.14848518371582
00362A2747E94008BAF554E06C11A420,1,1,RICE,0.101175,1160.8599,3,11473.78125
00362A2747E94008BAF554E06C11A420,1,1,GROUNDNUT/PEANUTS,0.4047,2527.7983,3,6246.10400390625
00362A2747E94008BAF554E06C11A420,3,2,MAIZE,0.4047,15.622684,3,38.60312271118164
0036C7E94D314B488A97FDF045C6B229,1,1,SORGHUM,0.60705,171.32031,0,282.2178039550781
003710EE7E8444E9A411442051D2A3A0,1,1,MAIZE,0.36423,345.93524,2,949.7714233398438
003710EE7E8444E9A411442051D2A3A0,1,2,GROUNDNUT/PEANUTS,0.36423,587.7138,2,1613.5787353515625
003710EE7E8444E9A411442051D2A3A0,1,1,MAIZE,0.4047,528.94244,2,1306.998779296875
0037CF060884469F851EE9807CC85627,1,1,MAIZE,0.8094,308.87076,5,381.6045837402344
003A1A4C57B54284B6DECFB3EB5ED8A0,1,2,MAIZE,0.8094,2162.0952,1,2671.23193359375
003A1A4C57B54284B6DECFB3EB5ED8A0,1,3,MAIZE,0.60705,2882.794,1,4748.857421875
003A1A4C57B54284B6DECFB3EB5ED8A0,1,2,MAIZE,0.8094,2162.0952,1,2671.23193359375
003A1A4C57B54284B6DECFB3EB5ED8A0,1,2,MAIZE,0.8094,2162.0952,1,2671.23193359375
003A1A4C57B54284B6DECFB3EB5ED8A0,1,2,MAIZE,0.8094,2162.0952,1,2671.23193359375
003A1A4C57B54284B6DECFB3EB5ED8A0,1,1,MAIZE,0.303525,5765.588,1,18995.4296875
003C4C7D4F5C480DB78DB7B1C99AD806,2,1,NKHWANI,0.04047,574.49963,0,14195.69140625
003C4C7D4F5C480DB78DB7B1C99AD806,1,1,MAIZE,0.04047,2470.966,0,61056.734375
003C4C7D4F5C480DB78DB7B1C99AD806,1,1,GROUNDNUT/PEANUTS,0.04047,0.0,0,0.0
003C4C7D4F5C480DB78DB7B1C99AD806,1,1,GROUNDNUT/PEANUTS,0.04047,0.0,0,0.0
003C9954F3464463BDB1572CA0EE9609,1,3,GROUNDNUT/PEANUTS,0.4047,31.134174,0,76.93148803710938
003C9954F3464463BDB1572CA0EE9609,1,1,NKHWANI,0.101175,2298.4927,0,22717.990234375
003C9954F3464463BDB1572CA0EE9609,1,1,BEANS,0.101175,96.96894,0,958.4278564453125
003C9954F3464463BDB1572CA0EE9609,1,1,BEANS,0.20235,98.838646,0,488.4538879394531
003C9954F3464463BDB1572CA0EE9609,1,1,BEANS,0.101175,197.67729,0,1953.8155517578125
003C9954F3464463BDB1572CA0EE9609,1,2,MAIZE,0.20235,1149.2463,0,5679.49755859375
0041EC35BD294243B9CE9817E87BD9D4,1,1,MAIZE,0.8094,778.3543,2,961.6435546875
0041EC35BD294243B9CE9817E87BD9D4,1,1,MAIZE,0.8094,778.3543,2,961.6435546875
0046CF3DFDD3497FA7F846F784D32286,1,1,GROUNDNUT/PEANUTS,0.4047,90.93155,0,224.6887664794922
0046CF3DFDD3497FA7F846F784D32286,1,3,MAIZE,0.60705,60.621037,0,99.86168670654297
0046CF3DFDD3497FA7F846F784D32286,1,2,GROUNDNUT/PEANUTS,0.8094,436.81247,0,539.6743774414062
00496180B5FB466E9F0D9012E6FC2FDB,1,1,MAIZE,0.4047,6053.8667,6,14958.8994140625
00496180B5FB466E9F0D9012E6FC2FDB,1,2,MAIZE,0.4047,6053.8667,6,14958.8994140625
004B930CAC8443CA8C42CCB57182762B,2,1,MAIZE,0.8094,30.887075,6,38.160457611083984
004B930CAC8443CA8C42CCB57182762B,2,1,GROUNDNUT/PEANUTS,0.8094,24.709661,6,30.52836799621582
004B930CAC8443CA8C42CCB57182762B,1,1,PIGEONPEA(NANDOLO),0.8094,432.41907,6,534.2463989257812
004B930CAC8443CA8C42CCB57182762B,2,1,GROUND BEAN(NZAMA),0.8094,12.354831,6,15.26418399810791
0054B564A2574DAFA31105010367728D,1,1,MAIZE,0.20235,1235.483,0,6105.67333984375
